code,facility_uuid,district_name,Directorate_name,facility_name,facility_type_name,Total User Count,User Login Count,Registration Count,Lab Order Count,Admission Count,Total Department Count,Total Active Department Count,Total Doctor Count,Login Doctor Count,Total Nurse Count,Login Nurse Count
CHC193,526,Ramanathapuram,Directorate Of Public Health And Preventive Medicine(DPH),Thondi,UG-CHC,7,6,11912,31424,0,13,5,2,2,1,0
CHC194,527,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Malliakarai,UG-CHC,7,6,1892,2712,0,13,4,2,2,1,0
CHC195,528,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Karipatti,UG-CHC,7,6,1296,2251,0,13,3,2,2,1,0
CHC196,529,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Chithoor,UG-CHC,7,6,2804,6977,0,13,4,2,2,1,0
CHC197,530,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Thammampatti,UG-CHC,7,6,3555,4285,0,13,4,2,2,1,0
CHC198,531,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Kadayampatti,UG-CHC,7,6,1543,1998,0,13,4,2,2,1,0
CHC199,532,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Kolathur,UG-CHC,7,6,1269,1221,0,13,4,2,2,1,0
CHC200,533,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Konganapuram,UG-CHC,7,6,1078,2083,0,13,3,2,1,1,0
CHC201,534,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Mac Donalds Choultry,UG-CHC,7,6,2254,3849,0,13,3,2,2,1,0
CHC202,535,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Mecheri,UG-CHC(MCH),7,6,1010,896,0,13,4,2,2,1,0
CHC203,536,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Nangavalli,UG-CHC,7,6,1494,2862,0,13,4,2,2,1,0
CHC204,537,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Sarakkapillaiyur,UG-CHC,7,6,1625,782,0,13,4,2,2,1,0
CHC205,538,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Panamarathupatti,UG-CHC,7,6,1492,1487,0,13,4,2,2,1,0
CHC206,539,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Ariyapalayam,UG-CHC,7,6,1217,1833,0,13,4,2,2,1,0
CHC207,540,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Kannankurichi,UG-CHC,7,6,1426,2420,0,13,5,2,2,1,0
CHC208,541,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Vadugapatti,UG-CHC,7,6,799,992,0,13,4,2,2,1,0
CHC209,542,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Thalaivasal,UG-CHC,7,6,1613,2536,0,13,4,2,2,1,0
CHC210,543,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Tharamangalam,UG-CHC,7,6,454,410,0,13,4,2,1,1,0
CHC211,544,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Belur,UG-CHC,7,6,3703,4124,0,13,7,2,2,1,0
CHC212,545,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Elampillai,UG-CHC,7,6,1251,2030,0,13,5,2,2,1,0
CHC213,546,Salem,Directorate Of Public Health And Preventive Medicine(DPH),Valavanthi,UG-CHC,7,6,133,281,0,13,3,2,2,1,0
CHC214,547,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Thiruvegampet,UG-CHC,7,6,2907,2947,0,13,4,2,2,1,0
CHC215,548,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Salaigrammam,UG-CHC,7,6,1656,1896,0,13,4,2,2,1,0
CHC216,549,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Maravamangalam,UG-CHC,7,6,4063,4932,0,13,4,2,2,1,0
CHC217,550,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Sembanur,UG-CHC,7,6,4098,3574,0,13,4,2,2,1,0
CHC218,551,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Kannankudi,UG-CHC,7,6,2232,1959,0,13,4,2,2,1,0
CHC219,552,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Muthanandal,UG-CHC,7,6,2095,3275,0,13,4,2,2,1,0
CHC220,553,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),V.Pudur,UG-CHC,7,6,4722,8793,0,13,5,2,2,1,0
CHC221,554,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Puduvayal,UG-CHC,7,6,2858,3332,0,13,4,2,1,1,0
CHC222,555,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Piranmalai,UG-CHC(MCH),7,6,2172,4928,0,13,4,2,2,1,0
CHC223,556,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Keelapoongudi,UG-CHC,7,6,3930,8007,0,13,4,2,2,1,0
CHC224,557,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Nerkuppai,UG-CHC,7,6,2614,3238,0,13,4,2,2,1,0
CHC225,558,Sivagangai,Directorate Of Public Health And Preventive Medicine(DPH),Poovanthi,UG-CHC,7,6,2622,7838,0,13,4,2,1,1,0
CHC226,559,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Melattur,UG-CHC,7,6,1353,2897,0,13,4,2,2,1,0
CHC227,560,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Palayapatti,UG-CHC,7,6,766,1518,0,13,4,2,2,1,0
CHC228,561,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Patteeswaram I,UG-CHC,7,6,1136,1334,0,13,4,2,2,1,0
CHC229,562,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Alathur,CHC,7,6,948,956,0,13,4,2,2,1,0
CHC230,563,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Thondarampattu,UG-CHC,7,6,2561,6053,0,13,5,2,1,1,0
CHC231,564,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Kabisthalam,UG-CHC,7,6,830,1740,0,13,3,2,2,1,0
CHC232,565,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Thamarankottai,UG-CHC,7,6,1181,3217,0,13,5,2,2,1,0
CHC233,566,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Siruvaviduthi,UG-CHC(MCH),7,6,975,1288,0,13,4,2,2,1,0
CHC234,567,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Alagiyanayagipuram,UG-CHC,7,6,1961,3260,0,13,3,2,2,1,0
CHC235,568,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Vallam,UG-CHC,7,6,1522,2306,0,13,4,2,2,1,0
CHC236,569,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Konulampallam,UG-CHC,7,6,2126,4769,0,13,4,2,2,1,0
CHC237,570,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Naducauvery,UG-CHC,7,6,1154,1173,0,13,4,2,1,1,0
CHC238,571,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Murukkangudi,UG-CHC,7,6,896,1309,0,13,4,2,2,1,0
CHC239,572,Thanjavur,Directorate Of Public Health And Preventive Medicine(DPH),Thiruvonam,UG-CHC,7,6,779,1847,0,13,3,2,2,1,0
CHC240,573,Theni,Directorate Of Public Health And Preventive Medicine(DPH),M.Subbulapuram,CHC,7,6,1757,2401,0,13,4,2,2,1,0
CHC241,574,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Dombuchery,UG-CHC,7,6,5230,14837,0,13,3,2,2,1,0
CHC242,575,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Odaipatty,UG-CHC,7,6,2627,3467,0,13,5,2,2,1,0
CHC243,576,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Gudalur,UG-CHC,7,6,2171,3318,0,13,4,2,2,1,0
CHC244,577,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Kadamalaikundu,UG-CHC,7,6,5210,9669,0,13,4,2,2,1,0
CHC245,578,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Devathanapatti,UG-CHC,7,6,1070,1801,0,13,5,2,2,1,0
CHC246,579,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Veerapandi,UG-CHC(MCH),7,6,9049,12120,0,13,4,2,2,1,0
CHC247,580,Theni,Directorate Of Public Health And Preventive Medicine(DPH),Devaram,UG-CHC,7,6,2310,2573,0,13,3,2,2,1,0
CHC248,581,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Periapalayam,UG-CHC(MCH),7,6,2224,5108,0,13,4,2,2,1,0
CHC249,582,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Eguvarpalayam,UG-CHC,7,6,1365,676,0,13,4,2,2,1,0
CHC250,583,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Velliyur,UG-CHC,7,6,801,148,0,13,3,2,2,1,0
CHC251,584,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Perambakkam,UG-CHC,7,6,1350,657,0,13,4,2,1,1,0
CHC252,585,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Naravarikuppam,UG-CHC,7,6,1510,1501,0,13,5,2,2,1,0
CHC253,586,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Minjur,UG-CHC,7,6,4149,3059,0,13,5,2,1,1,0
CHC254,587,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Athimanjeeripet,UG-CHC,7,6,1458,2962,0,13,4,2,1,1,0
CHC255,588,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Nemam,UG-CHC,7,6,1772,1602,0,13,3,2,1,1,0
CHC256,589,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Katchur,UG-CHC,7,6,2161,1742,0,13,4,2,1,1,0
CHC257,590,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),R.K.Pet,UG-CHC,7,6,1255,1929,0,13,4,2,2,1,0
CHC258,591,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Budur,UG-CHC,7,6,1469,240,0,13,3,2,1,1,0
CHC259,592,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Beerakuppam,UG-CHC,7,6,981,944,0,13,3,2,2,1,0
CHC260,593,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Poonimangadu,CHC,7,6,344,576,0,13,2,2,1,1,0
CHC261,594,Tiruvallur,Directorate Of Public Health And Preventive Medicine(DPH),Kollumedu,UG-CHC,7,6,2308,2536,0,13,3,2,1,1,0
CHC262,595,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Thiruvizhimizhalai,UG-CHC,7,6,1754,1505,0,13,4,2,1,1,0
CHC263,596,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Perumpannaiyur,UG-CHC,7,6,1839,1540,0,13,5,2,2,1,0
CHC264,597,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Thirumakottai,UG-CHC,7,6,3276,5559,0,13,4,2,2,1,0
CHC265,598,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Ullikkottai,UG-CHC,7,6,2057,2008,0,13,4,2,2,1,0
CHC266,599,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Senganthiedaiyur,UG-CHC,7,6,3682,5075,0,13,4,2,2,1,0
CHC267,600,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Poonthottam,UG-CHC,7,6,1613,2768,0,13,3,2,2,1,0
CHC268,601,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Vaduvoor,UG-CHC,7,6,1376,3371,0,13,4,2,2,1,0
CHC269,602,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Alathambadi,UG-CHC,7,6,3764,3094,0,13,5,2,2,1,0
CHC270,603,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Adiyakkamangalam,UG-CHC,7,6,3921,11999,0,13,4,2,1,1,0
CHC271,604,Thiruvarur,Directorate Of Public Health And Preventive Medicine(DPH),Alangudi,UG-CHC,7,6,2530,10875,0,13,3,2,2,1,0
CHC272,605,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Kulumani  Chc Gr.I,UG-CHC,7,6,2112,4712,0,13,3,2,2,1,0
CHC273,606,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Pudur Uthamanur  Chc Gr I,UG-CHC,7,6,2047,3841,0,13,4,2,2,1,0
CHC274,607,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Sirukambur   Chc Gr I,UG-CHC,7,6,2970,6081,0,13,3,2,2,1,0
CHC275,608,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Puthanatham  Chc Gr I,UG-CHC,7,6,3337,8572,0,13,4,2,1,1,0
CHC276,609,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Inamkulathur  Chc Gr Ii,UG-CHC,7,6,2020,2067,0,13,4,2,2,1,0
CHC277,610,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Valannadu  Chc Gr Ii,UG-CHC,7,6,1858,2097,0,13,4,2,2,1,0
CHC278,611,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),T.Puthur - Chc Gr.I,UG-CHC,7,6,3087,5295,0,13,5,2,2,1,0
CHC279,612,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Pullambadi  Chc Gr I,UG-CHC,7,6,2839,5888,0,13,4,2,2,1,0
CHC280,613,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),T Pet   Chc Gr I,UG-CHC,7,6,2378,2560,0,13,3,2,2,1,0
CHC281,614,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Navalpattu,UG-CHC,7,6,1324,2292,0,13,3,2,1,1,0
CHC282,615,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Kattuputhur,UG-CHC,7,6,1129,1408,0,13,5,2,2,1,0
CHC283,616,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Veramachan Patti  Chc Gr I,UG-CHC,7,6,1948,5153,0,13,3,2,1,1,0
CHC284,617,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Uppliyapuram   Chc Gr I,UG-CHC(MCH),7,6,2839,5207,0,13,4,2,2,1,0
CHC285,618,Thiruchirappalli,Directorate Of Public Health And Preventive Medicine(DPH),Vaiyampatti   Chc Gr I,UG-CHC,7,6,570,787,0,13,3,2,1,1,0
CHC286,619,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Nettur,UG-CHC,7,6,803,999,0,13,3,2,2,1,0
CHC287,620,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Vairavikulum,UG-CHC,7,6,1650,2853,0,13,4,2,2,1,0
CHC288,621,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Pattamadai,UG-CHC,7,6,1812,2254,0,13,5,2,2,1,0
CHC289,622,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Kadayam,UG-CHC,7,6,3321,5757,0,13,3,2,2,1,0
CHC290,623,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Chokkampatti,UG-CHC,7,6,4022,6458,0,13,4,2,2,1,0
CHC291,624,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Thirukkurungudi,UG-CHC,7,6,3861,7786,0,13,5,2,2,1,0
CHC292,625,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Pavoorchtram,UG-CHC,7,6,3463,5482,0,13,4,2,2,1,0
CHC293,626,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Kuruvikulam,UG-CHC,7,6,5665,10001,0,13,5,2,2,1,0
CHC294,627,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Ukkirankottai,UG-CHC,7,6,1525,2640,0,13,4,2,2,1,0
CHC295,628,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Sendamaram,UG-CHC,7,6,2682,3409,0,13,3,2,2,1,0
CHC296,629,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Munainjipatti,UG-CHC,7,6,1739,2819,0,13,3,2,2,1,0
CHC297,630,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Reddiarpatty,UG-CHC,7,6,2051,2996,0,13,3,2,2,1,0
CHC298,631,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Mukkudal,UG-CHC,7,6,2380,2458,0,13,12,2,2,1,0
CHC299,632,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Thisayanvilai,UG-CHC(MCH),7,6,3820,5966,0,13,4,2,2,1,0
CHC300,633,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Karivalm Vandanallur,UG-CHC,7,6,2128,4452,0,13,4,2,2,1,0
CHC301,634,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Elathur,UG-CHC,7,6,3084,11516,0,13,4,2,2,1,0
CHC302,635,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Vadakarai Kilpidagai,UG-CHC,7,6,2386,6275,0,13,4,2,2,1,0
CHC303,636,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Panagudi,UG-CHC,7,6,1331,1676,0,13,3,2,2,1,0
CHC304,637,Tirunelveli,Directorate Of Public Health And Preventive Medicine(DPH),Vasudevanallur,UG-CHC(MCH),7,6,5521,10104,0,13,3,2,2,1,0
CHC305,638,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Cheyur,UG-CHC,7,6,1033,964,0,13,3,2,1,1,0
CHC306,639,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Ponnapuram,UG-CHC,7,6,975,1070,0,13,4,2,2,1,0
CHC307,640,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Gudimangalam,UG-CHC,7,6,630,719,0,13,3,2,2,1,0
CHC308,641,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Nathakadaiyur,UG-CHC,7,6,893,915,0,13,3,2,2,1,0
CHC309,642,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Thayampalayam,UG-CHC,7,6,1692,1153,0,13,4,2,1,1,0
CHC310,643,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Komaralingam,UG-CHC,7,6,1183,1094,0,13,4,2,2,1,0
CHC311,644,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Mulanur,UG-CHC,7,6,2641,4799,0,13,3,2,2,1,0
CHC312,645,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Semmipalayam,UG-CHC,7,6,1246,3208,0,13,3,2,2,1,0
CHC313,646,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Pongalur,UG-CHC(MCH),7,6,642,1173,0,13,4,2,2,1,0
CHC314,647,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Perumanallur,UG-CHC,7,6,1160,2689,0,13,3,2,2,1,0
CHC315,648,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Erisinampatty,UG-CHC,7,6,320,523,0,13,3,2,2,1,0
CHC316,649,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Kunnathur,UG-CHC,7,6,1823,1176,0,13,4,2,2,1,0
CHC317,650,Tiruppur,Directorate Of Public Health And Preventive Medicine(DPH),Vellakoil,UG-CHC(MCH),7,6,1693,3583,0,13,2,2,1,1,0
CHC318,651,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Akkur,UG-CHC,7,6,583,998,0,13,3,2,1,1,0
CHC319,652,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),S.V.Nagaram,UG-CHC,7,6,3977,5574,0,13,4,2,2,1,0
CHC320,653,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Thatchur,UG-CHC,7,6,1222,2475,0,13,4,2,2,1,0
CHC321,654,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Melpallipattu,UG-CHC,7,6,1563,6482,0,13,3,2,2,1,0
CHC322,655,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Kommanandal,UG-CHC,7,6,1121,1203,0,13,3,2,2,1,0
CHC323,656,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Navalpakkam,UG-CHC,7,6,5964,13440,0,13,5,2,2,1,0
CHC324,657,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Nammiyampattu,UG-CHC,7,6,873,1021,0,13,4,2,2,1,0
CHC325,658,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Kadaladi,UG-CHC(MCH),7,6,4412,6152,0,13,4,2,2,1,0
CHC326,659,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Kilpennathur,UG-CHC,7,6,4682,7994,0,13,4,2,2,1,0
CHC327,660,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Peranamallur,UG-CHC,7,6,1078,2421,0,13,3,2,1,1,0
CHC328,661,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Kalambur,UG-CHC,7,6,2914,8637,0,13,4,2,2,1,0
CHC329,662,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Karapattu,UG-CHC,7,6,2045,4033,0,13,4,2,2,1,0
CHC330,663,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),S.Goodalur,UG-CHC,7,6,1080,1994,0,13,3,2,2,1,0
CHC331,664,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Thellar,UG-CHC,7,6,1443,2903,0,13,2,2,1,1,0
CHC332,665,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Mangalam,UG-CHC,7,6,2362,4389,0,13,4,2,2,1,0
CHC333,666,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Kattampoondi,UG-CHC,7,6,878,315,0,13,4,2,2,1,0
CHC334,667,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Vazhur,UG-CHC,7,6,2982,7571,0,13,2,2,2,1,0
CHC335,668,Tiruvannamalai,Directorate Of Public Health And Preventive Medicine(DPH),Perungattur,UG-CHC(MCH),7,6,2799,6036,0,13,3,2,2,1,0
CHC336,669,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Alwarthirunagari,UG-CHC,7,6,1725,1268,0,13,4,2,2,1,0
CHC337,670,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Karungulam,UG-CHC,7,6,4132,7308,0,13,5,2,1,1,0
CHC338,671,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Kalugumalai,UG-CHC,7,6,2441,4843,0,13,4,2,2,1,0
CHC339,672,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Keelairali,UG-CHC,7,6,3613,11497,0,13,4,2,2,1,0
CHC340,673,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Ottanathami,UG-CHC,7,6,3271,7767,0,13,4,2,1,1,0
CHC341,674,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Nagalapuram,UG-CHC(MCH),7,6,2491,6929,0,13,4,2,2,1,0
CHC342,675,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Mudalur,UG-CHC,7,6,2902,3190,0,13,5,2,2,1,0
CHC343,676,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Eral,UG-CHC(MCH),7,6,2939,3968,0,13,5,2,2,1,0
CHC344,677,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Pudukottai,UG-CHC,7,6,2523,3373,0,13,4,2,2,1,0
CHC345,678,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Kayamozhi,UG-CHC,7,6,1219,2402,0,13,3,2,2,1,0
CHC346,679,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Megnanapuram,UG-CHC,7,6,1747,3917,0,13,4,2,2,1,0
CHC347,680,Thoothukudi,Directorate Of Public Health And Preventive Medicine(DPH),Perilovanpatti,CHC,7,6,2334,5105,0,13,4,2,2,1,0
CHC348,681,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Alangayam,UG-CHC,7,6,3410,4093,0,13,5,2,2,1,0
CHC349,682,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Odugathur,UG-CHC,7,6,7688,11970,0,13,4,2,2,1,0
CHC350,683,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Mudhur,UG-CHC,7,6,486,751,0,13,3,2,2,1,0
CHC351,684,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Pudupadi,UG-CHC,7,6,1016,986,0,13,3,2,2,1,0
CHC352,685,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Kallapadi,UG-CHC,7,6,1528,1087,0,13,4,2,2,1,0
CHC353,686,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Pudupet,UG-CHC,7,6,3465,8080,0,13,4,2,2,1,0
CHC354,687,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Vaduganthangal,UG-CHC,7,6,4273,5834,0,13,4,2,2,1,0
CHC355,688,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Kunichi,UG-CHC,7,6,870,1068,0,13,4,2,2,1,0
CHC356,689,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Kaniyambadi - Chc Gr.Ii,UG-CHC,7,6,5544,8047,0,13,4,2,2,1,0
CHC357,690,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Thiruvalam,UG-CHC,7,6,3538,7512,0,13,7,2,2,1,0
CHC358,691,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Banavaram,UG-CHC(MCH),7,6,551,385,0,13,3,2,2,1,0
CHC359,692,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Madhanur,UG-CHC,7,6,4232,8403,0,13,3,2,2,1,0
CHC360,693,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Pachur,UG-CHC,7,6,911,1031,0,13,4,2,2,1,0
CHC361,694,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Punnai,UG-CHC,7,6,1080,1732,0,13,3,2,2,1,0
CHC362,695,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Nariampattu,UG-CHC,7,6,2674,5579,0,13,4,2,2,1,0
CHC363,696,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Ponnai,UG-CHC,7,6,3155,6449,0,13,3,2,2,1,0
CHC364,697,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Timiri,UG-CHC,7,6,11156,13814,0,13,4,2,2,1,0
CHC365,698,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Andiappanur,UG-CHC,7,6,873,1416,0,13,3,2,2,1,0
CHC366,699,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Ussoor,UG-CHC,7,6,6485,15539,0,13,4,2,2,1,0
CHC367,700,Vellore,Directorate Of Public Health And Preventive Medicine(DPH),Lalapet,UG-CHC,7,6,852,1449,0,13,3,2,2,1,0
CHC368,701,Villupuram,Directorate Of Public Health And Preventive Medicine(DPH),Kachirapalayam,UG-CHC,7,6,1350,1927,0,13,4,2,2,1,0
CHC369,702,Villupuram,Directorate Of Public Health And Preventive Medicine(DPH),Sathiyamangalam,UG-CHC,7,6,337,342,0,13,3,2,2,1,0
CHC370,703,Villupuram,Directorate Of Public Health And Preventive Medicine(DPH),Melur,UG-CHC,7,6,1265,2358,0,13,4,2,2,1,0
CHC371,704,Villupuram,Directorate Of Public Health And Preventive Medicine(DPH),Kariyalur,UG-CHC(MCH),7,6,1291,4597,0,13,3,2,2,1,0
